CNTYVTD,VTDKEY,KimbroughD_18P_U.S. Sen,HernandezD_18P_U.S. Sen,O'RourkeD_18P_U.S. Sen
3870004,7536,11,16,8
3870005,7537,2,4,7
3870007,7538,1,1,1
3870007,7539,0,0,0
3870009,7540,0,0,1
3870010,7541,1,2,3
3870011,7542,1,0,2
3870017,7543,2,3,5
3870018,7544,0,0,0
3870024,7545,6,5,6
3870027,7546,0,0,2
3870028,7547,3,3,3
3870029,7548,2,4,2
3870030,7549,1,0,1
3870031,7550,4,4,2
387021,7551,2,1,1
387021,7552,0,1,1
387024,7553,9,3,4
387031,7554,17,15,11
387034,7555,4,4,7
387131,7556,2,1,1
387134,7557,2,1,1
387141,7558,0,0,0
387144,7559,2,2,2
387191,7560,4,2,3
387194,7561,4,2,2
387201,7562,0,0,0
387204,7563,0,0,0
387211,7564,0,0,1
387214,7565,5,2,2
3890002,7566,48,115,36
3890003,7567,62,113,49
3890004,7568,0,0,0
3890005,7569,16,38,12
3890006,7570,3,7,3
3890007,7571,62,141,52
3890008,7572,22,49,16
3890010,7573,70,141,60
3890011,7574,42,85,35
3910001,7575,8,20,8
3910002,7576,5,15,13
3910003,7577,9,12,5
3910004,7578,3,35,22
391001,7579,5,45,15
391002,7580,0,0,3
391002,7581,5,10,12
391003,7582,11,8,4
391004,7583,5,25,11
391004,7584,2,22,9
3930001,7585,1,0,0
3930002,7586,0,0,0
3930003,7587,0,0,0
393041,7588,2,0,0
393042,7589,0,0,0
3950001,7590,51,34,22
3950002,7591,15,19,13
3950003,7592,2,4,4
3950004,7593,6,3,13
3950005,7594,55,34,26
3950006,7595,17,5,14
3950008,7596,5,0,7
3950011,7597,13,10,25
3950013,7598,0,0,0
3950016,7599,3,2,0
3950019,7600,2,1,6
3950022,7601,70,77,28
3950023,7602,11,18,6
3970001,7603,22,40,145
3970002,7604,31,29,119
3970003,7605,11,11,24
3970004,7606,4,7,19
3970004,7607,0,0,0
397001,7608,21,37,83
397001,7609,22,30,95
397001,7610,0,0,0
397001,7611,19,24,123
397001,7612,7,10,27
397001,7613,9,14,39
397002,7614,19,31,114
397002,7615,28,23,56
397002,7616,7,5,31
397002,7617,24,25,74
397002,7618,19,30,103
397002,7619,4,12,28
397003,7620,11,18,41
397003,7621,0,1,1
397003,7622,17,24,57
397003,7623,0,1,0
397003,7624,9,8,62
397003,7625,12,22,46
397003,7626,8,8,52
397004,7627,26,36,65
397004,7628,25,27,53
397004,7629,8,8,23
397004,7630,9,11,22
397004,7631,15,16,44
397004,7632,2,0,9
3990001,7633,3,4,18
3990003,7634,3,4,7
3990004,7635,2,1,2
3990005,7636,1,0,1
3990006,7637,0,0,0
3990007,7638,3,3,6
3990008,7639,1,5,2
3990009,7640,4,3,4
3990010,7641,0,0,4
4010111,7642,3,7,4
4010112,7643,19,18,22
4010113,7644,16,21,39
4010114,7645,11,11,11
4010201,7646,6,2,6
4010212,7647,4,4,7
4010213,7648,10,11,22
4010214,7649,37,19,49
4010215,7650,28,19,36
4010302,7651,10,16,14
4010303,7652,20,19,35
4010314,7653,2,3,8
4010314,7654,0,0,0
4010315,7655,7,4,6
4010316,7656,1,3,0
4010317,7657,9,6,5
4010318,7658,10,6,17
4010319,7659,5,6,8
4010404,7660,9,8,13
4010405,7661,10,13,11
4010416,7662,5,4,9
4010417,7663,11,10,13
4010418,7664,13,13,21
4030001,7665,15,3,17
4030002,7666,12,8,11
4030003,7667,14,6,12
4030004,7668,1,1,1
4030005,7669,10,4,12
4030006,7670,9,3,19
4030007,7671,5,2,5
4030008,7672,3,1,1
4050001,7673,40,11,19
4050002,7674,7,5,1
4050003,7675,11,4,3
4050004,7676,12,9,5
4050005,7677,10,2,7
4050006,7678,2,1,2
4050007,7679,0,1,3
4050008,7680,4,2,1
4050009,7681,16,3,6
4050010,7682,2,1,1
4050011,7683,8,13,4
4070001,7684,35,24,37
4070002,7685,34,39,22
4070003,7686,10,7,10
4070004,7687,1,1,6
4070005,7688,11,12,11
4070006,7689,22,18,29
4070007,7690,24,29,36
4070008,7691,15,17,14
4070009,7692,4,0,8
4070010,7693,8,0,7
4070011,7694,6,3,5
4090101,7695,1,14,6
4090102,7696,13,77,60
4090103,7697,0,1,3
4090104,7698,24,67,63
4090105,7699,7,31,59
4090106,7700,7,9,12
4090107,7701,1,1,9
4090108,7702,9,38,85
4090109,7703,14,28,62
4090110,7704,12,70,61
4090111,7705,0,2,3
4090112,7706,20,84,55
4090113,7707,6,43,46
4090114,7708,12,16,40
4090115,7709,26,36,75
4090116,7710,5,20,65
4090117,7711,5,17,4
4090118,7712,11,61,61
4090119,7713,9,10,36
4090120,7714,5,4,19
4090121,7715,10,32,57
4090122,7716,0,0,0
4090123,7717,1,2,1
4090124,7718,43,202,189
4090125,7719,2,0,4
4110001,7720,0,1,10
411002,7721,0,0,1
411002,7722,0,0,2
411003,7723,1,3,7
411003,7724,0,1,3
411004,7725,1,1,8
411004,7726,0,1,1
4130001,7727,2,9,8
4130002,7728,1,6,8
4130003,7729,1,12,7
4130004,7730,2,4,10
4150005,7731,1,0,0
4150006,7732,0,1,0
4150007,7733,4,2,13
4150008,7734,1,1,5
4150009,7735,0,1,2
4150010,7736,3,5,4
4150011,7737,0,0,0
4150012,7738,6,1,10
4150013,7739,0,1,6
4150014,7740,2,0,2
4150015,7741,1,10,3
4170101,7742,0,0,1
4170101,7743,0,0,0
4170202,7744,0,0,1
4170303,7745,0,0,1
4170307,7746,0,0,2
4170404,7747,0,0,0
4170405,7748,0,0,1
4170406,7749,3,0,2
4170406,7750,0,0,0
4190002,7751,2,3,7
4190003,7752,2,2,3
4190004,7753,3,3,1
4190005,7754,7,2,14
4190006,7755,1,1,1
4190007,7756,8,5,6
4190008,7757,14,12,9
419001,7758,5,5,9
419001,7759,7,7,13
419001,7760,2,2,5
419009,7761,4,3,4
419009,7762,6,6,4
41901,7763,26,14,11
41901,7764,4,4,5
4210101,7765,0,1,0
4210102,7766,2,1,2
4210201,7767,1,1,1
4210202,7768,0,0,1
4210301,7769,2,1,0
4210302,7770,3,0,0
4210401,7771,1,1,1
4230001,7772,7,9,10
4230002,7773,10,10,6
4230003,7774,14,12,73
4230004,7775,29,19,24
4230005,7776,11,12,14
4230006,7777,4,9,15
4230007,7778,14,13,21
4230008,7779,19,15,18
4230009,7780,7,4,4
4230010,7781,76,38,66
4230011,7782,49,21,32
4230012,7783,80,34,33
4230013,7784,99,47,37
4230014,7785,21,16,28
4230015,7786,6,5,56
4230016,7787,67,41,34
4230017,7788,4,2,8
4230018,7789,57,34,22
4230019,7790,11,12,37
4230020,7791,2,6,7
4230021,7792,6,7,38
4230022,7793,0,1,1
4230023,7794,19,18,53
4230024,7795,20,11,27
4230025,7796,16,10,55
4230026,7797,22,12,21
4230027,7798,13,11,46
4230028,7799,13,16,30
4230029,7800,8,8,6
4230030,7801,20,16,40
4230031,7802,4,7,47
4230032,7803,7,5,13
4230033,7804,4,5,12
4230034,7805,66,30,33
4230035,7806,72,59,60
4230036,7807,99,47,73
4230037,7808,10,7,10
4230038,7809,16,13,57
4230039,7810,20,6,7
4230040,7811,19,12,38
4230041,7812,6,5,24
4230042,7813,27,20,65
4230043,7814,1,7,59
4230044,7815,65,47,54
4230045,7816,6,7,21
4230046,7817,18,14,20
4230047,7818,4,1,0
4230048,7819,21,13,13
4230049,7820,6,3,8
4230050,7821,9,8,57
4230051,7822,18,20,46
4230052,7823,17,11,13
4230053,7824,11,6,10
4230054,7825,17,13,69
4230055,7826,13,15,40
4230056,7827,17,15,66
4230057,7828,1,2,6
4230058,7829,17,5,65
4230059,7830,18,13,66
4230060,7831,5,8,6
4230061,7832,22,27,69
4230062,7833,6,8,13
4230063,7834,3,4,5
4230064,7835,8,10,14
4230066,7836,17,6,9
4230071,7837,15,12,52
4230073,7838,6,4,11
4230074,7839,3,1,2
4230075,7840,17,15,37
4230076,7841,7,8,10
4230077,7842,5,6,14
4230079,7843,11,23,43
4230081,7844,4,1,3
4230082,7845,0,0,3
4230085,7846,2,2,15
4250001,7847,9,3,16
4250002,7848,3,5,32
4250003,7849,8,6,11
4250004,7850,3,8,27
4270001,7851,90,274,166
4270002,7852,105,373,199
4270003,7853,56,223,116
4270004,7854,32,128,58
4270005,7855,4,17,10
4270006,7856,93,395,246
4270007,7857,20,97,52
4270008,7858,104,380,221
4270009,7859,40,162,99
4270010,7860,75,319,152
4270011,7861,75,385,246
4270012,7862,118,431,212
4270013,7863,108,351,171
4270014,7864,45,177,104
4290001,7865,2,5,4
4290002,7866,5,0,11
4290003,7867,1,0,7
4290004,7868,2,2,4
4290005,7869,1,0,0
4310001,7870,1,1,1
4310001,7871,1,0,0
4310002,7872,0,0,0
4310002,7873,0,0,0
4310002,7874,0,0,0
4310002,7875,0,0,0
4310002,7876,0,0,0
4310003,7877,0,0,2
4310004,7878,0,0,1
4330001,7879,5,1,4
4330002,7880,23,6,11
4330003,7881,10,0,7
4330004,7882,11,5,9
4350101,7883,1,10,9
4350201,7884,2,2,9
4350301,7885,1,10,13
4350401,7886,3,8,3
4370001,7887,7,14,3
4370002,7888,11,10,7
4370003,7889,15,5,6
4370004,7890,5,5,3
4370006,7891,2,6,1
4370007,7892,7,2,2
4370009,7893,1,0,0
4370011,7894,2,2,2
4391001,7895,10,30,148
4391004,7896,14,37,173
4391005,7897,22,20,32
4391008,7898,8,5,16
4391009,7899,11,11,77
4391010,7900,6,5,1
4391011,7901,14,26,21
4391012,7902,53,62,118
4391013,7903,114,79,135
4391014,7904,8,6,24
4391015,7905,6,23,66
4391019,7906,7,20,30
4391021,7907,30,27,144
4391022,7908,10,20,101
4391023,7909,14,29,37
4391024,7910,7,12,18
4391025,7911,55,50,55
4391034,7912,18,22,45
4391056,7913,6,5,4
4391059,7914,18,15,20
4391061,7915,2,6,5
4391062,7916,2,0,3
4391064,7917,0,0,0
4391066,7918,9,13,49
4391071,7919,24,29,85
4391074,7920,16,13,25
4391075,7921,20,13,29
4391076,7922,3,8,214
4391078,7923,33,32,23
4391079,7924,36,32,42
4391080,7925,49,23,37
4391081,7926,1,2,25
4391082,7927,4,18,21
4391083,7928,17,12,23
4391084,7929,0,0,0
4391085,7930,8,12,24
4391088,7931,13,19,47
4391089,7932,58,40,55
4391090,7933,44,31,32
4391094,7934,10,14,116
4391095,7935,3,4,80
4391098,7936,51,41,35
4391099,7937,11,11,19
4391103,7938,13,16,55
4391104,7939,127,92,205
4391105,7940,22,20,169
4391106,7941,107,59,75
4391108,7942,5,5,208
4391109,7943,8,12,29
4391111,7944,6,13,33
4391117,7945,6,10,225
4391119,7946,68,96,180
4391120,7947,93,83,130
4391126,7948,53,98,99
4391127,7949,83,68,81
4391132,7950,57,44,43
4391133,7951,13,30,171
4391142,7952,6,24,110
4391146,7953,56,80,158
4391149,7954,108,56,83
4391150,7955,51,34,42
4391151,7956,17,24,55
4391153,7957,95,68,78
4391154,7958,22,10,12
4391165,7959,1,6,20
4391167,7960,11,19,119
4391170,7961,34,72,232
4391175,7962,9,25,87
4391184,7963,15,10,29
4391186,7964,14,15,23
4391188,7965,24,25,21
4391189,7966,56,49,137
4391197,7967,15,28,65
4391198,7968,7,4,3
4391199,7969,5,14,13
4391206,7970,21,47,114
4391207,7971,30,49,138
4391208,7972,12,22,71
4391211,7973,97,50,53
4391227,7974,26,31,50
4391236,7975,0,13,87
4391237,7976,5,12,18
4391238,7977,49,89,150
4391241,7978,4,8,4
4391244,7979,1,0,7
4391251,7980,53,74,87
4391255,7981,87,111,156
4391257,7982,23,21,88
4391264,7983,10,25,133
4391265,7984,42,54,144
4391270,7985,6,14,27
4391271,7986,9,19,48
4391273,7987,9,25,81
4391277,7988,30,23,115
4391278,7989,74,64,97
4391279,7990,60,92,124
4391291,7991,93,72,230
4391292,7992,37,39,56
4391293,7993,39,50,73
4391294,7994,22,47,69
4391295,7995,19,18,29
4391296,7996,16,20,163
4391297,7997,127,58,96
4391298,7998,10,17,233
4391300,7999,55,63,88
4391301,8000,102,59,102
4391311,8001,57,75,109
4391337,8002,14,23,98
4391339,8003,17,36,143
4391345,8004,6,4,5
4391346,8005,29,18,22
4391347,8006,63,93,185
4391348,8007,5,6,20
4391351,8008,0,0,0
4391352,8009,6,13,24
4391366,8010,0,0,0
4391376,8011,0,0,0
4391377,8012,39,49,198
4391378,8013,92,108,134
4391380,8014,7,22,95
4391382,8015,32,43,75
4391388,8016,26,45,119
4391394,8017,0,0,0
4391404,8018,20,39,73
4391407,8019,0,0,11
4391408,8020,0,6,9
4391412,8021,0,0,0
4391414,8022,2,2,0
4391415,8023,21,26,55
4391416,8024,1,1,15
4391418,8025,0,0,0
4391420,8026,0,0,0
4391423,8027,10,19,101
4391424,8028,0,0,0
4391427,8029,0,0,0
4391430,8030,0,0,1
4391431,8031,17,21,58
4391434,8032,0,0,0
4391436,8033,12,23,14
4391437,8034,10,16,34
4391439,8035,2,1,0
4391440,8036,57,49,74
4391441,8037,6,19,21
4391444,8038,1,2,4
4391445,8039,2,0,5
4391455,8040,0,0,0
4391457,8041,0,0,0
4391459,8042,43,58,98
4391460,8043,52,49,119
4391463,8044,14,33,47
4391472,8045,0,2,6
4391473,8046,0,0,4
4391476,8047,1,0,10
4391477,8048,23,22,24
4391479,8049,4,3,8
4391481,8050,4,11,10
4391482,8051,11,12,19
4391489,8052,42,53,65
4391490,8053,8,10,27
4391491,8054,0,0,0
4391501,8055,8,9,21
4391504,8056,12,14,39
4391514,8057,0,0,0
4391515,8058,0,0,1
4391518,8059,9,22,28
4391543,8060,21,28,29
4391544,8061,0,1,0
4391547,8062,0,0,0
4391549,8063,0,0,0
4391550,8064,1,1,5
4391555,8065,0,0,0
4391559,8066,5,12,5
4391564,8067,0,0,0
4391576,8068,5,5,5
4391577,8069,38,30,34
4391578,8070,24,23,38
4391586,8071,0,0,0
4391589,8072,6,4,8
4391594,8073,0,0,0
4391597,8074,5,22,26
4391603,8075,0,0,0
4391605,8076,0,0,0
4391607,8077,0,0,0
4391608,8078,3,5,143
4391610,8079,0,1,3
4391611,8080,1,0,0
4391617,8081,0,2,5
4391619,8082,0,0,1
4391621,8083,2,4,8
4391622,8084,2,2,4
4391623,8085,0,0,0
4391625,8086,0,0,0
4391627,8087,2,3,7
4391631,8088,5,2,6
4391633,8089,0,0,0
4391639,8090,19,38,36
4391641,8091,55,59,97
4391642,8092,45,51,77
4391651,8093,0,0,0
4391652,8094,2,2,0
4391672,8095,0,0,0
4391674,8096,0,0,0
4391676,8097,8,5,12
4391677,8098,0,0,6
4391678,8099,0,0,2
4391679,8100,0,0,0
4391684,8101,2,8,40
4391701,8102,10,27,47
4391704,8103,16,28,57
4391710,8104,23,39,47
4391714,8105,65,88,140
4391715,8106,16,24,49
4391717,8107,14,26,42
4391718,8108,19,28,50
4391719,8109,25,38,123
4391722,8110,2,7,17
4391723,8111,12,13,22
4391734,8112,58,101,103
4391738,8113,0,1,1
4391739,8114,2,2,2
4391740,8115,0,0,0
4391747,8116,0,0,0
4391749,8117,0,0,0
4391752,8118,0,0,0
4391753,8119,0,0,0
4391801,8120,0,0,0
4391821,8121,0,0,0
4391831,8122,33,37,56
4391834,8123,4,11,30
4391837,8124,11,17,22
4391845,8125,16,36,82
4391848,8126,18,23,48
4392002,8127,0,0,0
4392003,8128,8,20,68
4392007,8129,23,40,133
4392026,8130,17,33,113
4392027,8131,13,14,13
4392028,8132,11,18,44
4392029,8133,36,59,69
4392030,8134,51,103,99
4392031,8135,49,76,79
4392033,8136,22,37,52
4392052,8137,11,32,104
4392055,8138,24,37,119
4392058,8139,0,0,0
4392100,8140,2,3,25
4392112,8141,12,32,90
4392134,8142,4,10,24
4392143,8143,2,12,13
4392145,8144,17,29,46
4392147,8145,3,19,83
4392148,8146,27,34,77
4392158,8147,18,38,120
4392161,8148,11,22,87
4392168,8149,8,21,43
4392169,8150,7,16,26
4392171,8151,22,36,175
4392173,8152,11,9,35
4392174,8153,25,48,119
4392180,8154,29,45,41
4392181,8155,19,45,192
4392190,8156,0,7,13
4392205,8157,16,33,186
4392210,8158,5,15,24
4392217,8159,29,70,131
4392219,8160,30,56,149
4392220,8161,32,61,137
4392221,8162,24,56,59
4392223,8163,5,19,71
4392224,8164,18,51,75
4392225,8165,14,27,18
4392226,8166,26,46,42
4392228,8167,23,29,164
4392229,8168,28,42,88
4392235,8169,34,57,80
4392246,8170,11,20,88
4392258,8171,4,7,18
4392262,8172,11,5,22
4392263,8173,12,21,50
4392266,8174,25,41,156
4392267,8175,18,45,63
4392268,8176,11,27,54
4392269,8177,6,10,13
4392274,8178,0,0,0
4392275,8179,16,22,31
4392280,8180,20,25,95
4392281,8181,8,12,83
4392299,8182,51,50,83
4392302,8183,18,34,33
4392303,8184,15,30,142
4392304,8185,19,26,84
4392305,8186,15,46,64
4392306,8187,27,34,69
4392307,8188,43,81,166
4392308,8189,18,37,66
4392309,8190,9,14,35
4392310,8191,12,27,84
4392313,8192,21,35,115
4392314,8193,33,40,166
4392315,8194,22,41,65
4392316,8195,11,37,99
4392317,8196,10,28,64
4392318,8197,9,22,74
4392319,8198,21,41,134
4392320,8199,23,26,28
4392341,8200,4,12,11
4392349,8201,44,44,66
4392353,8202,39,49,57
4392354,8203,32,52,56
4392355,8204,17,23,51
4392356,8205,51,75,164
4392357,8206,31,42,102
4392358,8207,19,52,80
4392360,8208,27,65,89
4392379,8209,64,88,96
4392381,8210,11,12,9
4392383,8211,38,61,86
4392393,8212,13,34,41
4392401,8213,2,7,8
4392402,8214,0,0,0
4392403,8215,0,0,0
4392405,8216,53,67,81
4392411,8217,8,8,15
4392413,8218,16,19,20
4392419,8219,0,0,0
4392425,8220,51,67,120
4392426,8221,20,26,73
4392428,8222,4,9,9
4392435,8223,27,57,74
4392438,8224,39,62,100
4392442,8225,11,26,88
4392448,8226,45,69,102
4392449,8227,31,51,55
4392450,8228,32,53,67
4392451,8229,1,2,5
4392453,8230,46,60,75
4392461,8231,28,58,64
4392462,8232,34,60,71
4392464,8233,2,9,35
4392466,8234,29,30,53
4392467,8235,30,53,106
4392468,8236,28,53,104
4392474,8237,1,6,7
4392484,8238,42,76,73
4392488,8239,53,91,95
4392505,8240,20,18,67
4392506,8241,30,71,126
4392513,8242,0,0,0
4392519,8243,24,52,51
4392520,8244,20,50,88
4392521,8245,15,28,62
4392522,8246,35,61,111
4392523,8247,62,126,104
4392524,8248,11,14,63
4392525,8249,67,119,116
4392535,8250,29,45,98
4392536,8251,21,65,115
4392537,8252,16,26,38
4392541,8253,43,93,91
4392546,8254,0,0,0
4392548,8255,18,19,39
4392553,8256,25,46,39
4392556,8257,25,39,101
4392557,8258,20,58,44
4392561,8259,0,0,0
4392569,8260,1,1,2
4392571,8261,0,0,0
4392581,8262,35,65,79
4392600,8263,0,0,0
4392601,8264,0,0,0
4392606,8265,0,4,0
4392609,8266,0,0,0
4392612,8267,0,0,0
4392613,8268,35,62,89
4392614,8269,10,11,14
4392616,8270,1,0,0
4392618,8271,1,4,7
4392635,8272,33,58,52
4392636,8273,17,28,63
4392643,8274,16,26,32
4392644,8275,56,96,113
4392645,8276,17,21,57
4392655,8277,15,25,28
4392656,8278,1,2,2
4392657,8279,0,0,0
4392658,8280,7,8,15
4392659,8281,0,0,0
4392660,8282,1,3,7
4392670,8283,1,3,8
4392673,8284,0,0,0
4392675,8285,0,0,0
4392680,8286,0,0,0
4392681,8287,0,0,0
4392697,8288,35,50,61
4392699,8289,74,111,167
4392708,8290,46,75,80
4392712,8291,44,94,107
4392721,8292,21,39,45
4392726,8293,45,81,75
4392727,8294,9,16,32
4392731,8295,33,52,50
4392741,8296,2,5,4
4392742,8297,8,12,13
4392743,8298,0,0,1
4392744,8299,1,3,15
4392745,8300,3,4,11
4392746,8301,9,25,63
4392748,8302,0,0,0
4392751,8303,0,0,0
4392755,8304,0,0,0
4392775,8305,0,0,0
4392827,8306,0,0,0
4392827,8307,0,0,0
4392835,8308,13,36,74
4392838,8309,58,67,79
4392839,8310,2,4,16
4392840,8311,31,55,52
4392843,8312,35,61,61
4393032,8313,10,11,53
4393035,8314,16,34,194
4393036,8315,25,34,59
4393037,8316,17,34,124
4393038,8317,12,42,153
4393039,8318,8,18,82
4393040,8319,18,33,106
4393041,8320,12,31,90
4393043,8321,3,5,19
4393049,8322,16,22,121
4393054,8323,21,43,121
4393063,8324,11,17,60
4393072,8325,10,19,88
4393114,8326,12,32,85
4393131,8327,11,14,62
4393139,8328,9,14,45
4393140,8329,7,7,30
4393152,8330,0,0,1
4393156,8331,11,14,62
4393157,8332,14,30,89
4393160,8333,20,29,57
4393164,8334,20,27,59
4393166,8335,18,34,102
4393172,8336,14,29,114
4393176,8337,22,51,129
4393177,8338,7,13,78
4393183,8339,27,44,154
4393185,8340,0,0,0
4393187,8341,16,24,42
4393192,8342,2,5,8
4393193,8343,11,17,112
4393194,8344,13,21,60
4393196,8345,12,19,98
4393200,8346,17,46,123
4393209,8347,10,38,112
4393212,8348,17,42,91
4393213,8349,12,19,63
4393214,8350,12,22,88
4393215,8351,33,51,161
4393216,8352,20,51,154
4393240,8353,12,36,92
4393247,8354,7,20,65
4393248,8355,18,41,185
4393249,8356,20,62,154
4393254,8357,13,37,95
4393260,8358,6,12,83
4393282,8359,14,12,72
4393283,8360,7,19,89
4393286,8361,0,5,11
4393287,8362,7,32,75
4393289,8363,5,17,56
4393321,8364,8,23,109
4393322,8365,17,21,122
4393323,8366,15,18,122
4393324,8367,18,28,64
4393325,8368,6,7,41
4393325,8369,0,0,0
4393326,8370,3,2,35
4393327,8371,17,30,92
4393329,8372,21,36,91
4393330,8373,7,11,56
4393331,8374,13,17,102
4393332,8375,21,34,62
4393333,8376,13,38,116
4393334,8377,12,27,115
4393335,8378,9,31,100
4393336,8379,34,39,95
4393359,8380,3,15,102
4393361,8381,8,27,154
4393363,8382,1,6,20
4393364,8383,6,14,24
4393365,8384,8,15,159
4393367,8385,14,13,68
4393368,8386,2,10,36
4393372,8387,17,35,117
4393384,8388,10,17,97
4393385,8389,13,21,159
4393386,8390,14,23,78
4393387,8391,5,17,78
4393389,8392,31,45,152
4393390,8393,10,24,166
4393391,8394,15,49,105
4393392,8395,9,19,85
4393396,8396,25,31,179
4393398,8397,5,7,35
4393406,8398,0,0,0
4393409,8399,0,0,0
4393417,8400,11,26,55
4393421,8401,6,8,61
4393422,8402,5,10,49
4393433,8403,5,6,21
4393443,8404,20,24,126
4393446,8405,0,0,0
4393447,8406,0,0,0
4393465,8407,20,49,146
4393469,8408,4,10,99
4393470,8409,0,0,3
4393471,8410,6,5,68
4393486,8411,11,34,95
4393500,8412,0,1,5
4393502,8413,5,12,34
4393507,8414,5,26,69
4393509,8415,16,27,68
4393510,8416,6,18,111
4393511,8417,20,55,122
4393516,8418,11,20,121
4393517,8419,14,20,69
4393526,8420,2,6,47
4393527,8421,7,25,66
4393529,8422,8,8,98
4393530,8423,9,28,135
4393538,8424,7,21,173
4393539,8425,0,0,0
4393542,8426,14,23,124
4393545,8427,9,11,91
4393552,8428,9,31,85
4393554,8429,13,28,95
4393558,8430,11,10,135
4393560,8431,0,0,0
4393562,8432,1,0,5
4393566,8433,0,0,0
4393567,8434,2,3,13
4393570,8435,12,20,87
4393574,8436,1,5,13
4393575,8437,0,0,0
4393579,8438,5,5,35
4393580,8439,0,0,0
4393582,8440,0,0,0
4393583,8441,0,0,0
4393584,8442,0,0,0
4393585,8443,0,0,0
4393590,8444,0,0,0
4393624,8445,1,5,12
4393626,8446,4,4,11
4393637,8447,13,27,74
4393646,8448,8,26,87
4393647,8449,17,35,90
4393648,8450,20,35,112
4393653,8451,0,0,0
4393654,8452,0,0,0
4393661,8453,0,0,0
4393663,8454,0,0,1
4393664,8455,0,0,0
4393665,8456,0,0,0
4393667,8457,1,1,0
4393668,8458,1,1,8
4393669,8459,0,0,0
4393671,8460,0,5,31
4393695,8461,11,25,87
4393696,8462,11,36,136
4393698,8463,26,43,122
4393700,8464,4,15,27
4393706,8465,8,23,94
4393709,8466,6,14,44
4393716,8467,9,15,66
4393720,8468,11,19,91
4393725,8469,6,20,66
4393728,8470,9,14,63
4393729,8471,0,0,0
4393732,8472,4,5,19
4393735,8473,3,5,44
4393750,8474,0,0,0
4393757,8475,0,0,0
4393759,8476,0,0,0
4393822,8477,0,0,0
4393826,8478,0,0,0
4393841,8479,4,4,15
4393842,8480,6,11,53
4393847,8481,6,16,51
4393850,8482,11,26,53
4394006,8483,6,6,63
4394016,8484,4,18,159
4394017,8485,30,48,54
4394018,8486,11,13,17
4394020,8487,11,15,28
4394042,8488,3,9,28
4394044,8489,8,10,31
4394045,8490,12,19,65
4394046,8491,8,12,47
4394047,8492,19,22,41
4394048,8493,1,17,32
4394050,8494,25,32,29
4394051,8495,0,0,0
4394053,8496,5,20,38
4394057,8497,9,13,73
4394060,8498,4,15,316
4394065,8499,12,9,61
4394067,8500,9,51,66
4394068,8501,3,24,24
4394069,8502,10,16,57
4394070,8503,25,26,205
4394073,8504,6,9,9
4394077,8505,1,1,50
4394086,8506,6,18,120
4394087,8507,0,26,25
4394091,8508,17,20,70
4394092,8509,0,16,27
4394093,8510,8,52,73
4394096,8511,8,8,169
4394097,8512,4,22,84
4394101,8513,8,23,51
4394102,8514,12,10,18
4394107,8515,2,22,34
4394110,8516,2,48,49
4394113,8517,2,5,11
4394115,8518,2,1,13
4394116,8519,6,21,174
4394118,8520,5,7,84
4394121,8521,8,28,93
4394122,8522,2,35,23
4394123,8523,4,24,18
4394124,8524,1,20,132
4394125,8525,2,6,15
4394128,8526,13,33,49
4394129,8527,5,7,91
4394130,8528,12,13,202
4394135,8529,14,19,61
4394136,8530,11,26,89
4394137,8531,3,9,65
4394138,8532,3,7,16
4394141,8533,17,39,74
4394144,8534,8,19,39
4394155,8535,8,39,75
4394159,8536,12,11,31
4394162,8537,2,7,10
4394163,8538,4,7,135
4394178,8539,16,29,149
4394179,8540,7,15,80
4394182,8541,7,15,230
4394191,8542,4,9,35
4394195,8543,4,30,37
4394201,8544,2,33,61
4394202,8545,4,21,40
4394203,8546,21,26,72
4394204,8547,25,34,84
4394218,8548,10,7,26
4394222,8549,9,20,28
4394230,8550,15,37,201
4394231,8551,2,24,32
4394232,8552,4,16,24
4394233,8553,2,21,62
4394234,8554,22,24,137
4394239,8555,3,1,4
4394242,8556,1,6,17
4394243,8557,11,19,52
4394245,8558,0,1,2
4394245,8559,0,0,0
4394250,8560,7,7,48
4394252,8561,7,18,68
4394253,8562,2,5,39
4394256,8563,3,11,12
4394259,8564,1,9,55
4394261,8565,19,40,104
4394272,8566,4,7,23
4394276,8567,15,26,52
4394284,8568,0,1,6
4394285,8569,0,7,11
4394288,8570,3,4,5
4394290,8571,16,19,58
4394312,8572,0,0,5
4394328,8573,9,15,31
4394338,8574,16,16,53
4394340,8575,22,21,53
4394342,8576,13,13,177
4394343,8577,5,8,97
4394344,8578,4,12,84
4394350,8579,6,17,143
4394362,8580,0,0,0
4394369,8581,18,49,98
4394370,8582,0,0,0
4394371,8583,9,8,41
4394373,8584,3,2,5
4394374,8585,24,29,87
4394375,8586,8,26,57
4394395,8587,3,6,13
4394397,8588,2,6,15
4394399,8589,0,0,2
4394400,8590,0,3,6
4394410,8591,20,39,93
4394429,8592,6,13,47
4394432,8593,0,0,1
4394452,8594,12,31,63
4394454,8595,9,22,45
4394456,8596,5,6,83
4394458,8597,0,0,0
4394475,8598,0,0,13
4394478,8599,0,0,0
4394480,8600,3,5,24
4394483,8601,0,1,0
4394485,8602,1,3,1
4394487,8603,0,0,0
4394492,8604,3,11,53
4394493,8605,3,10,69
4394494,8606,0,0,0
4394495,8607,5,8,2
4394496,8608,3,9,27
4394497,8609,23,42,64
4394498,8610,0,2,51
4394499,8611,7,13,34
